,Player,Age,Nation,Position,Club,Birthday,Astrology,Foot,Height,Wage,youth_value,Game Value,TransferMarket Value,Game Rating,predicted_rate,Fotball Critic rating,FMyear,rate avg,ratio predicted,numeric position,numeric foot,value_rate,label,label value
10,Adalberto Penaranda,23,Brazil,Strikers,Watford,5.0,Gemini,Right,185,128000.0,7000000.0,3000000.0,400000.0,80.0,75.0,52.0,2017.0,63.5,0.79375,9,2,0.0571428571428571,0,0
11,Jordon Ibe,24,England,Right Wingers,Derby,12.0,Sagittarius,Right,176,40000.0,16500000.0,509000.0,1000000.0,74.0,70.0,99.0,2016.0,70.0,0.945945945945946,8,2,0.0606060606060606,0,0
12,James Wilson,24,Ukraine,Strikers,Salford,12.0,Sagittarius,Left,184,8000.0,9200000.0,202000.0,600000.0,82.0,67.0,68.0,2016.0,67.5,0.823170731707317,9,1,0.0652173913043478,0,0
13,Emre Mor,23,Germany,Right Wingers,Vigo,7.0,Leo,Left,169,36000.0,10500000.0,4000000.0,700000.0,75.0,73.0,58.0,2017.0,65.5,0.873333333333333,8,1,0.0666666666666666,0,0
14,Pablo Becker,27,Argentina,Central Attacking Midfielders,Aldosivi,4.0,Taurus,Right,173,8000.0,1500000.0,931000.0,100000.0,74.0,71.0,99.0,2014.0,71.0,0.959459459459459,0,2,0.0666666666666666,0,0
15,Brendan Galloway,24,Portugal,Central Defenders,Luton,3.0,Pisces,Left,188,20000.0,6000000.0,68000.0,400000.0,77.0,68.0,56.0,2017.0,62.0,0.805194805194805,1,1,0.0666666666666666,0,0
16,James Wilson,24,Italy,Strikers,Salford,12.0,Sagittarius,Left,184,8000.0,8750000.0,202000.0,600000.0,84.0,67.0,99.0,2015.0,67.0,0.797619047619048,9,1,0.0685714285714285,0,0
17,Robert Burbano,26,France,Right Wingers, Delfín SC,4.0,Aries,Either,180,100000.0,5000000.0,350000.0,350000.0,77.0,68.0,68.0,2016.0,68.0,0.883116883116883,8,0,0.07,0,0
18,Imoh Ezekiel,26,Nigiria,Strikers,Al-Jazira (UAE),10.0,Scorpio,Right,170,76000.0,5000000.0,920000.0,400000.0,75.0,71.0,68.0,2014.0,69.5,0.926666666666667,9,2,0.08,0,0
19,Charly Musonda,23,France,Central Attacking Midfielders,Chelsea,10.0,Libra,Right,173,160000.0,12500000.0,8000000.0,1000000.0,76.0,71.0,99.0,2018.0,71.0,0.93421052631579,0,2,0.08,0,0
20,Callum Gribbin,21,Mali,Central Attacking Midfielders,Barrow,12.0,Sagittarius,Left,178,280000.0,360000.0,29000.0,29000.0,81.0,61.0,99.0,2018.0,61.0,0.753086419753086,0,1,0.0805555555555555,0,0
21,Jordon Ibe,24,Czech Republic,Right Wingers,Derby,12.0,Sagittarius,Right,176,40000.0,12300000.0,509000.0,1000000.0,74.0,70.0,51.0,2017.0,60.5,0.817567567567568,8,2,0.08130081300813,0,0
22,Agustin Araujo,21,Argentina,Right Wingers,Racing Club,6.0,Gemini,Left,163,8000.0,1500000.0,561000.0,125000.0,79.0,66.0,68.0,2018.0,67.0,0.848101265822785,8,1,0.0833333333333333,0,0
23,David Concha,23,Spain,Left Wingers,Badajoz,11.0,Scorpio,Left,172,16000.0,2300000.0,311000.0,200000.0,78.0,73.0,68.0,2017.0,70.5,0.903846153846154,6,1,0.0869565217391304,0,0
24,Matias Sanchez,24,Argentina,Defensive Midfielders,Chacarita Jrs.,7.0,Cancer,Right,174,8000.0,1400000.0,377000.0,125000.0,70.0,71.0,68.0,2014.0,69.5,0.992857142857143,3,2,0.0892857142857142,0,0
25,Evelio Cardozo,19,France,Central Attacking Midfielders,Racing Club,2.0,Aquarius,Right,164,8000.0,800000.0,911000.0,75000.0,74.0,67.0,99.0,2018.0,67.0,0.905405405405405,0,2,0.09375,0,0
26,Maximilian Meyer,24,Argentina,Central Attacking Midfielders,1. FC Köln,9.0,Virgo,Either,169,12000.0,16000000.0,3000000.0,1500000.0,85.0,76.0,68.0,2017.0,72.0,0.847058823529412,0,0,0.09375,0,0
27,Marlos Moreno,23,Czech Republic,Strikers,Man City,9.0,Virgo,Right,173,180000.0,10500000.0,7000000.0,1000000.0,74.0,69.0,45.0,2017.0,57.0,0.77027027027027,9,2,0.0952380952380952,0,0
28,Brendan Galloway,24,Spain,Central Defenders,Luton,3.0,Pisces,Left,188,20000.0,4200000.0,68000.0,400000.0,78.0,68.0,56.0,2016.0,62.0,0.794871794871795,1,1,0.0952380952380952,0,0
29,Callum Gribbin,21,Spain,Central Attacking Midfielders,Barrow,12.0,Sagittarius,Left,178,16000.0,300000.0,29000.0,29000.0,80.0,61.0,68.0,2017.0,64.5,0.80625,0,1,0.0966666666666666,0,0
30,Alen Halilovic,24,Croatia,Central Attacking Midfielders,Birmingham,6.0,Gemini,Left,169,28000.0,6200000.0,270000.0,600000.0,78.0,72.0,57.0,2014.0,64.5,0.826923076923077,0,1,0.0967741935483871,0,0
31,Joaquin Rikemberg,17,Ivory Coast,Central Attacking Midfielders,"Feb 24, 2021",1.0,Capricorn,Either,180,40000.0,500000.0,50000.0,50000.0,79.0,68.0,99.0,2017.0,68.0,0.860759493670886,0,0,0.1,0,0
32,Franco Petroli,22,Hungary,Goalkeepers,River,6.0,Gemini,Left,185,12000.0,500000.0,491000.0,50000.0,74.0,67.0,68.0,2017.0,67.5,0.912162162162162,4,1,0.1,0,0
33,Edson Alvarez,22,Portugal,Central Defenders,Ajax,10.0,Scorpio,Right,185,72000.0,1000000.0,6000000.0,100000.0,78.0,76.0,78.0,2019.0,77.0,0.987179487179487,1,2,0.1,0,0
34,John Ruiz,26,England,Right Wingers,Herediano,1.0,Capricorn,Right,175,12000.0,1900000.0,419000.0,200000.0,70.0,71.0,68.0,2015.0,69.5,0.992857142857143,8,2,0.105263157894737,0,0
35,James Wilson,24,England,Strikers,Salford,12.0,Sagittarius,Left,184,8000.0,5600000.0,202000.0,600000.0,77.0,67.0,99.0,2017.0,67.0,0.87012987012987,9,1,0.107142857142857,0,0
36,Simone Lo Faso,22,Brazil,Left Wingers,Free Transfer,2.0,Aquarius,Right,179,12000.0,1600000.0, ,175000.0,79.0,68.0,68.0,2018.0,68.0,0.860759493670886,6,2,0.109375,0,0
37,Charly Musonda,23,Brazil,Central Attacking Midfielders,Chelsea,10.0,Libra,Right,173,160000.0,9000000.0,8000000.0,1000000.0,76.0,71.0,99.0,2017.0,71.0,0.93421052631579,0,2,0.111111111111111,0,0
38,Callum Slattery,21,Belgium,Central Attacking Midfielders,Southampton,2.0,Aquarius,Right,175,8000.0,450000.0,446000.0,50000.0,74.0,67.0,68.0,2018.0,67.5,0.912162162162162,0,2,0.111111111111111,0,0
39,Juan Foyth,22,Wales,Central Defenders,Tottenham,1.0,Capricorn,Right,187,144000.0,10500000.0,14000000.0,1200000.0,80.0,79.0,81.0,2019.0,80.0,1.0,1,2,0.114285714285714,0,0
40,Marian Sarr,26,England,Central Defenders, Bonner SC,1.0,Aquarius,Either,189,12000.0,850000.0,100000.0,100000.0,72.0,68.0,68.0,2015.0,68.0,0.944444444444444,1,0,0.117647058823529,0,0
41,Tomás Martínez,25,South Africa,Central Attacking Midfielders,Defensa y Justicia,3.0,Pisces,Left,173,20000.0,1800000.0,2000000.0,228000.0,76.0,73.0,99.0,2015.0,73.0,0.960526315789474,0,1,0.126666666666667,0,0
